Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
235,Anthony Lamb,SF,25,GSW,42,3,811,109,216,.505,57,142,.401,52,74,.703,.637,27,36,.750,33,104,137,70,22,11,42,97,302,lamban01
236,Talen Horton-Tucker,SG,22,UTA,42,1,655,112,275,.407,27,106,.255,85,169,.503,.456,47,63,.746,17,79,96,103,27,14,49,60,298,hortota01
237,Mo Bamba,C,24,ORL,40,6,681,106,214,.495,43,108,.398,63,106,.594,.596,35,51,.686,47,137,184,42,12,38,22,86,290,bambamo01
238,Victor Oladipo,SG,30,MIA,26,1,739,105,260,.404,37,125,.296,68,135,.504,.475,43,57,.754,13,77,90,101,43,6,48,63,290,oladivi01
239,Taurean Prince,SF,28,MIN,34,1,724,107,219,.489,46,116,.397,61,103,.592,.594,30,36,.833,11,71,82,52,17,13,40,80,290,princta02
240,Patrick Beverley,PG,34,LAL,45,45,1211,97,241,.402,55,158,.348,42,83,.506,.517,39,50,.780,24,116,140,118,40,25,42,124,288,beverpa01
241,Isaiah Hartenstein,C,24,NYK,56,7,1082,120,238,.504,8,34,.235,112,204,.549,.521,38,50,.760,155,205,360,49,33,43,46,140,286,harteis01
242,David Roddy,PF,21,MEM,45,1,802,109,263,.414,38,132,.288,71,131,.542,.487,30,48,.625,30,91,121,30,23,12,42,68,286,roddyda01
243,Landry Shamet,SG,25,PHO,30,7,642,92,242,.380,61,162,.377,31,80,.388,.506,41,45,.911,8,43,51,67,18,5,29,46,286,shamela01
244,Aaron Wiggins,SG,24,OKC,43,11,803,109,215,.507,31,77,.403,78,138,.565,.579,35,43,.814,44,95,139,60,21,8,35,68,284,wiggiaa01
245,Devonte' Graham,PG,27,NOP,53,0,811,85,231,.368,66,190,.347,19,41,.463,.511,44,59,.746,12,60,72,116,30,10,27,48,280,grahade01
246,Montrezl Harrell,C,29,PHI,49,7,621,110,183,.601,0,2,.000,110,181,.608,.601,59,85,.694,60,78,138,31,16,25,31,74,279,harremo01
247,John Konchar,SG,26,MEM,46,22,1054,104,241,.432,48,133,.361,56,108,.519,.531,20,23,.870,42,183,225,68,49,13,29,71,276,konchjo01
248,Isaiah Jackson,C,21,IND,41,5,627,107,192,.557,1,10,.100,106,182,.582,.560,60,89,.674,58,102,160,36,17,60,38,90,275,jacksis01
249,Mitchell Robinson,C,24,NYK,38,37,1022,118,175,.674,0,0,,118,175,.674,.674,39,77,.506,165,173,338,37,34,68,18,111,275,robinmi01
250,Ben Simmons,PG,26,BRK,38,33,1036,125,221,.566,0,1,.000,125,220,.568,.566,25,57,.439,36,209,245,243,54,22,92,129,275,simmobe01
251,Luke Kennard,SG,26,LAC,35,11,725,98,211,.464,59,132,.447,39,79,.494,.604,19,20,.950,6,77,83,37,19,4,30,47,274,kennalu01
252,Dennis Smith Jr.,PG,25,CHO,34,11,846,113,269,.420,12,60,.200,101,209,.483,.442,36,49,.735,14,79,93,151,45,13,50,76,274,smithde03
253,Aleksej Pokusevski,PF,21,OKC,31,25,677,107,243,.440,38,101,.376,69,142,.486,.519,21,33,.636,45,112,157,62,20,41,41,57,273,pokusal01
254,Terence Davis,SG,25,SAC,41,4,532,96,228,.421,52,150,.347,44,78,.564,.535,27,30,.900,15,80,95,51,31,11,33,68,271,daviste02
255,Obi Toppin,PF,24,NYK,41,0,619,99,236,.419,50,137,.365,49,99,.495,.525,23,29,.793,21,115,136,35,14,6,21,41,271,toppiob01
256,Wenyen Gabriel,PF,25,LAL,42,2,649,113,182,.621,9,27,.333,104,155,.671,.646,35,55,.636,67,98,165,19,15,25,30,92,270,gabriwe01
257,Andre Drummond,C,29,CHI,41,0,534,113,179,.631,0,2,.000,113,177,.638,.631,43,81,.531,90,189,279,26,27,13,46,78,269,drumman01
258,Jalen Suggs,PG,21,ORL,30,13,675,95,231,.411,32,109,.294,63,122,.516,.481,47,69,.681,26,57,83,109,38,12,59,72,269,suggsja01
259,Oshae Brissett,SF,24,IND,48,1,779,84,218,.385,38,116,.328,46,102,.451,.472,61,88,.693,44,119,163,26,28,8,21,64,267,brissos01
260,Jalen Johnson,SF,21,ATL,51,6,746,103,217,.475,22,77,.286,81,140,.579,.525,39,58,.672,34,163,197,47,24,22,24,76,267,johnsja05
261,Marvin Bagley III,C,23,DET,25,13,532,108,201,.537,9,33,.273,99,168,.589,.560,40,52,.769,52,96,148,14,13,18,22,51,265,baglema01
262,Mike Muscala,C,31,OKC,43,5,622,89,203,.438,56,142,.394,33,61,.541,.576,31,39,.795,23,112,135,38,11,19,14,70,265,muscami01
263,Yuta Watanabe,SF,28,BRK,40,0,740,94,182,.516,48,101,.475,46,81,.568,.648,27,37,.730,26,83,109,36,18,15,16,61,263,watanyu01
264,Alex Caruso,PG,28,CHI,46,18,1110,89,200,.445,39,100,.390,50,100,.500,.543,42,54,.778,29,112,141,152,78,31,61,113,259,carusal01
265,Chris Duarte,SF,25,IND,33,10,626,84,235,.357,36,122,.295,48,113,.425,.434,50,60,.833,10,68,78,51,14,8,28,49,254,duartch01
266,Jordan Goodwin,PG,24,WAS,39,4,719,97,213,.455,26,66,.394,71,147,.483,.516,33,44,.750,35,94,129,98,41,21,35,66,253,goodwjo01
267,T.J. Warren,PF,29,BRK,26,0,490,102,200,.510,16,48,.333,86,152,.566,.550,27,33,.818,13,59,72,29,15,7,17,45,247,warretj01
268,Duane Washington Jr.,SG,22,PHO,31,3,394,94,256,.367,40,111,.360,54,145,.372,.445,16,24,.667,2,34,36,63,6,4,34,23,244,washidu02
269,Gary Harris,SG,28,ORL,27,21,657,84,170,.494,50,107,.467,34,63,.540,.641,22,25,.880,13,44,57,31,22,5,19,58,240,harriga01
270,Cade Cunningham,PG,21,DET,12,12,400,93,224,.415,17,61,.279,76,163,.466,.453,36,43,.837,12,62,74,72,10,7,39,34,239,cunnica01
271,Jeff Green,PF,36,DEN,33,3,630,89,184,.484,13,51,.255,76,133,.571,.519,48,70,.686,24,59,83,39,14,8,32,63,239,greenje02
272,Derrick Jones Jr.,SF,25,CHI,43,0,670,85,163,.521,18,52,.346,67,111,.604,.577,50,62,.806,40,72,112,28,19,30,20,69,238,jonesde02
273,Kevin Knox,PF,23,DET,42,1,593,84,179,.469,43,116,.371,41,63,.651,.589,26,33,.788,20,88,108,15,14,12,32,74,237,knoxke01
274,Romeo Langford,SG,23,SAS,32,19,646,100,204,.490,13,46,.283,87,158,.551,.522,24,37,.649,46,46,92,43,16,11,22,55,237,langfro01
275,Cameron Johnson,PF,26,PHO,17,16,429,82,173,.474,45,99,.455,37,74,.500,.604,27,33,.818,14,51,65,26,15,6,10,29,236,johnsca02
276,Austin Rivers,SG,30,MIN,43,10,908,84,183,.459,39,106,.368,45,77,.584,.566,28,33,.848,4,73,77,68,26,3,22,72,235,riverau01
277,Josh Okogie,SG,24,PHO,46,1,600,72,189,.381,22,79,.278,50,110,.455,.439,64,92,.696,66,73,139,55,26,21,39,64,230,okogijo01
278,Ty Jerome,SG,25,GSW,33,2,589,87,176,.494,28,70,.400,59,106,.557,.574,27,29,.931,4,50,54,91,15,5,20,50,229,jeromty01
279,Jordan Nwora,SF,24,MIL,38,3,597,76,197,.386,40,102,.392,36,95,.379,.487,37,43,.860,29,88,117,38,12,7,34,34,229,nworajo01
280,Nickeil Alexander-Walker,SG,24,UTA,36,3,528,83,170,.488,35,87,.402,48,83,.578,.591,27,39,.692,8,51,59,76,24,14,45,58,228,alexani01
281,JaMychal Green,PF,32,GSW,35,1,513,87,163,.534,21,65,.323,66,98,.673,.598,30,41,.732,51,90,141,30,16,13,38,67,225,greenja01
282,Zeke Nnaji,PF,22,DEN,44,5,584,87,152,.572,13,45,.289,74,107,.692,.615,36,54,.667,56,46,102,11,15,19,20,81,223,nnajize01
283,Jeremiah Robinson-Earl,PF,22,OKC,26,18,548,85,174,.489,29,76,.382,56,98,.571,.572,22,28,.786,51,78,129,25,19,11,16,49,221,robinje02
284,Thaddeus Young,PF,34,TOR,44,9,712,98,175,.560,5,29,.172,93,146,.637,.574,18,26,.692,64,84,148,68,49,5,36,79,219,youngth01
285,Lamar Stevens,PF,25,CLE,40,18,732,86,185,.465,19,60,.317,67,125,.536,.516,25,36,.694,23,100,123,21,14,14,20,53,216,stevela01
286,Dario Šarić,PF,28,PHO,37,12,533,76,178,.427,27,69,.391,49,109,.450,.503,36,44,.818,39,103,142,57,13,5,36,69,215,saricda01
287,Trendon Watford,PF,22,POR,39,2,633,80,141,.567,14,31,.452,66,110,.600,.617,41,54,.759,24,107,131,63,14,6,38,68,215,watfotr01
288,Garrison Mathews,SG,26,HOU,45,0,602,60,170,.353,53,155,.342,7,15,.467,.509,41,45,.911,10,52,62,23,23,4,18,56,214,mathega01
289,Vlatko Čančar,PF,25,DEN,40,3,616,78,156,.500,36,79,.456,42,77,.545,.615,20,21,.952,17,74,91,56,16,9,26,68,212,cancavl01
290,Chimezie Metu,C,25,SAC,41,0,446,88,147,.599,8,31,.258,80,116,.690,.626,27,33,.818,31,95,126,29,11,14,24,56,211,metuch01
291,Christian Braun,SG,21,DEN,50,3,735,85,175,.486,21,57,.368,64,118,.542,.546,19,31,.613,32,82,114,34,20,11,22,58,210,braunch01
292,Aaron Holiday,PG,26,ATL,48,5,716,77,183,.421,31,74,.419,46,109,.422,.505,24,28,.857,19,43,62,65,27,10,29,67,209,holidaa01
293,Moses Moody,SG,20,GSW,41,3,603,72,162,.444,36,102,.353,36,60,.600,.556,26,37,.703,19,50,69,38,14,5,27,37,206,moodymo01
294,MarJon Beauchamp,SF,22,MIL,35,9,520,75,187,.401,36,110,.327,39,77,.506,.497,18,25,.720,32,53,85,23,15,2,34,55,204,beaucma01
295,Willy Hernangómez,C,28,NOP,28,0,355,70,133,.526,1,9,.111,69,124,.556,.530,63,80,.788,47,88,135,27,9,12,30,49,204,hernawi01
296,Nassir Little,SF,22,POR,34,1,550,75,158,.475,33,82,.402,42,76,.553,.579,17,28,.607,14,65,79,28,11,9,18,33,200,littlna01
297,Théo Maledon,PG,21,CHO,36,1,581,65,157,.414,21,63,.333,44,94,.468,.481,49,56,.875,9,77,86,86,27,6,35,37,200,maledth01
298,Patty Mills,PG,34,BRK,34,1,458,70,167,.419,40,108,.370,30,59,.508,.539,19,21,.905,6,26,32,46,12,2,19,22,199,millspa02
299,Darius Bazley,PF,22,OKC,36,1,555,71,158,.449,18,45,.400,53,113,.469,.506,36,65,.554,29,93,122,32,19,29,22,35,196,bazleda01
300,Justise Winslow,SF,26,POR,29,11,776,81,198,.409,14,45,.311,67,153,.438,.444,20,28,.714,49,96,145,98,30,11,43,89,196,winslju01
301,Duncan Robinson,SF,28,MIA,28,0,501,64,174,.368,46,139,.331,18,35,.514,.500,20,22,.909,7,47,54,33,8,0,19,56,194,robindu01
302,Khris Middleton,SF,31,MIL,15,7,315,66,163,.405,22,73,.301,44,90,.489,.472,39,42,.929,6,43,49,60,11,2,32,31,193,middlkh01
303,Robert Covington,PF,32,LAC,35,0,557,67,165,.406,33,100,.330,34,65,.523,.506,25,34,.735,25,106,131,44,24,26,23,65,192,covinro01
304,Isaiah Livers,PF,24,DET,34,9,693,62,154,.403,43,119,.361,19,35,.543,.542,22,28,.786,17,57,74,20,15,19,21,65,189,liveris01
305,Rudy Gay,PF,36,UTA,41,0,600,70,193,.363,21,91,.231,49,102,.480,.417,27,32,.844,28,95,123,39,15,13,23,49,188,gayru01
306,Haywood Highsmith,SF,26,MIA,39,9,756,74,173,.428,31,88,.352,43,85,.506,.517,8,20,.400,43,108,151,27,30,12,31,63,187,highsha01
307,Luke Kornet,C,27,BOS,47,0,569,79,113,.699,3,9,.333,76,104,.731,.712,26,31,.839,60,81,141,34,9,37,19,63,187,kornelu01
308,Malachi Flynn,PG,24,TOR,39,1,545,67,187,.358,38,104,.365,29,83,.349,.460,13,17,.765,14,45,59,60,16,3,17,52,185,flynnma01
309,Payton Pritchard,PG,25,BOS,39,2,483,69,172,.401,35,106,.330,34,66,.515,.503,8,12,.667,21,38,59,40,12,1,28,30,181,pritcpa01
310,Jaden Hardy,SG,20,DAL,27,0,290,60,141,.426,17,59,.288,43,82,.524,.486,40,46,.870,2,34,36,18,8,3,22,39,177,hardyja02
311,Dyson Daniels,PG,19,NOP,39,11,778,69,155,.445,20,60,.333,49,95,.516,.510,18,29,.621,28,110,138,96,34,10,43,75,176,daniedy01
312,Xavier Tillman Sr.,PF,24,MEM,35,6,498,74,123,.602,3,10,.300,71,113,.628,.614,25,49,.510,64,72,136,36,27,12,19,38,176,tillmxa01
313,Mark Williams,C,21,CHO,25,0,349,70,108,.648,0,0,,70,108,.648,.648,36,49,.735,40,90,130,6,18,25,20,47,176,willima07
314,George Hill,PG,36,MIL,35,0,668,59,132,.447,23,74,.311,36,58,.621,.534,34,46,.739,13,54,67,89,19,3,27,41,175,hillge01
315,P.J. Tucker,PF,37,PHI,51,51,1330,61,148,.412,34,87,.391,27,61,.443,.527,16,18,.889,64,137,201,43,25,13,34,128,172,tuckepj01
316,Dewayne Dedmon,C,33,MIA,30,0,350,64,129,.496,11,37,.297,53,92,.576,.539,32,44,.727,28,81,109,16,7,14,19,61,171,dedmode01
317,Robert Williams,C,25,BOS,20,11,471,78,101,.772,0,0,,78,101,.772,.772,15,22,.682,64,104,168,34,11,26,19,34,171,williro04
318,Cory Joseph,PG,31,DET,37,2,582,61,158,.386,22,70,.314,39,88,.443,.456,26,34,.765,10,39,49,120,16,4,25,53,170,josepco01
319,Cam Reddish,SF,23,NYK,20,8,438,61,136,.449,17,56,.304,44,80,.550,.511,29,33,.879,7,24,31,20,15,8,15,32,168,reddica01
320,Ziaire Williams,SF,21,MEM,27,3,484,67,159,.421,20,81,.247,47,78,.603,.484,13,17,.765,11,58,69,24,12,5,29,51,167,willizi02
321,Bismack Biyombo,C,30,PHO,43,9,610,75,134,.560,0,0,,75,134,.560,.560,16,49,.327,49,127,176,41,13,57,40,82,166,biyombi01
322,Josh Christopher,SG,21,HOU,37,1,357,66,142,.465,8,38,.211,58,104,.558,.493,26,35,.743,10,30,40,31,13,8,31,25,166,chrisjo01
323,Isaiah Roby,PF,24,SAS,39,1,423,64,141,.454,18,56,.321,46,85,.541,.518,19,40,.475,18,78,96,36,16,6,26,45,165,robyis01
324,Javonte Green,SG,29,CHI,28,1,449,61,104,.587,13,34,.382,48,70,.686,.649,29,43,.674,25,57,82,23,22,20,20,47,164,greenja02
325,Jericho Sims,C,24,NYK,43,12,675,76,94,.809,0,1,.000,76,93,.817,.809,12,16,.750,85,119,204,22,15,26,22,78,164,simsje01
326,Danuel House Jr.,SF,29,PHI,35,2,539,55,117,.470,24,70,.343,31,47,.660,.573,28,40,.700,8,56,64,25,8,7,16,43,162,houseda01
327,Dean Wade,PF,26,CLE,27,9,620,56,119,.471,35,84,.417,21,35,.600,.618,15,23,.652,14,91,105,27,18,12,12,64,162,wadede01
328,Miles McBride,PG,22,NYK,44,2,578,55,161,.342,30,103,.291,25,58,.431,.435,21,30,.700,10,29,39,53,26,2,20,43,161,mcbrimi01
329,Stanley Johnson,SF,26,SAS,28,0,422,58,107,.542,17,37,.459,41,70,.586,.621,26,39,.667,18,63,81,66,13,6,30,45,159,johnsst04
330,DeAndre Jordan,C,34,DEN,33,5,486,70,92,.761,1,1,1.000,69,91,.758,.766,17,39,.436,40,123,163,30,8,21,39,60,158,jordade01
331,Christian Koloko,C,22,TOR,45,19,658,61,125,.488,1,9,.111,60,116,.517,.492,35,53,.660,70,76,146,22,13,48,18,110,158,kolokch01
332,Evan Fournier,SG,30,NYK,22,7,412,53,150,.353,33,101,.327,20,49,.408,.463,18,21,.857,4,41,45,35,14,3,19,43,157,fournev01
333,Jaxson Hayes,C,22,NOP,30,2,430,56,106,.528,3,23,.130,53,83,.639,.542,41,61,.672,29,62,91,24,12,11,18,44,156,hayesja02
334,Moses Brown,C,23,LAC,34,1,288,61,96,.635,0,0,,61,96,.635,.635,33,72,.458,57,82,139,4,3,14,14,38,155,brownmo01
335,Usman Garuba,PF,20,HOU,48,1,655,61,116,.526,14,30,.467,47,86,.547,.586,19,36,.528,82,138,220,47,31,23,33,80,155,garubus01
336,Luka Garza,C,24,MIN,21,0,203,53,100,.530,13,35,.371,40,65,.615,.595,33,41,.805,26,26,52,14,2,1,9,33,152,garzalu01
337,Derrick Rose,PG,34,NYK,26,0,336,61,155,.394,19,60,.317,42,95,.442,.455,11,12,.917,8,32,40,46,7,5,22,18,152,rosede01
338,Amir Coffey,SG,25,LAC,38,9,538,47,126,.373,10,35,.286,37,91,.407,.413,45,55,.818,16,32,48,48,7,3,15,48,149,coffeam01
339,R.J. Hampton,PG,21,ORL,26,0,361,50,114,.439,18,53,.340,32,61,.525,.518,31,37,.838,9,30,39,34,16,4,21,22,149,hamptrj01
340,Ish Wainright,SF,28,PHO,38,1,568,53,140,.379,35,102,.343,18,38,.474,.504,8,11,.727,33,49,82,38,31,10,19,74,149,wainris01
341,Daishen Nix,PG,20,HOU,40,5,622,48,142,.338,28,92,.304,20,50,.400,.437,22,31,.710,12,57,69,103,25,6,57,38,146,nixda01
342,Delon Wright,PG,30,WAS,25,2,550,53,128,.414,16,58,.276,37,70,.529,.477,24,27,.889,23,57,80,92,48,7,20,36,146,wrighde01
343,James Wiseman,C,21,GSW,21,0,262,59,94,.628,1,2,.500,58,92,.630,.633,26,38,.684,18,55,73,14,3,7,14,39,145,wisemja01
344,Dāvis Bertāns,PF,30,DAL,34,0,360,47,111,.423,37,97,.381,10,14,.714,.590,10,12,.833,6,26,32,12,7,3,9,39,141,bertada01
345,Joe Ingles,SF,35,MIL,22,0,485,47,119,.395,34,94,.362,13,25,.520,.538,11,13,.846,7,46,53,71,12,3,28,32,139,inglejo01
346,Maxi Kleber,C,31,DAL,22,0,564,51,104,.490,24,65,.369,27,39,.692,.606,11,14,.786,19,59,78,21,7,22,13,48,137,klebima01
347,Ochai Agbaji,SG,22,UTA,33,0,451,50,106,.472,24,63,.381,26,43,.605,.585,10,16,.625,21,34,55,15,4,4,9,43,134,agbajoc01
348,Jae'Sean Tate,SF,27,HOU,17,2,352,53,118,.449,7,23,.304,46,95,.484,.479,19,27,.704,29,40,69,48,10,3,28,56,132,tateja01
349,Matisse Thybulle,SG,25,PHI,49,6,591,50,116,.431,21,63,.333,29,53,.547,.522,9,12,.750,20,43,63,23,45,14,8,65,130,thybuma01
350,Caleb Houstan,SF,20,ORL,31,2,508,43,109,.394,30,79,.380,13,30,.433,.532,11,13,.846,22,49,71,18,5,3,12,45,127,houstca01
351,Nathan Knight,PF,25,MIN,32,0,266,42,74,.568,8,21,.381,34,53,.642,.622,35,51,.686,20,30,50,13,9,5,18,35,127,knighna01
352,Bruno Fernando,C,24,HOU,31,4,364,48,93,.516,0,1,.000,48,92,.522,.516,30,44,.682,48,74,122,30,6,31,20,68,126,fernabr01
353,Justin Holiday,SG,33,ATL,28,0,411,48,125,.384,30,87,.345,18,38,.474,.504,0,0,,2,21,23,25,5,10,12,37,126,holidju01
354,Max Christie,SG,19,LAL,33,2,479,43,100,.430,26,61,.426,17,39,.436,.560,12,14,.857,7,65,72,17,7,6,11,31,124,chrisma02
355,Taj Gibson,C,37,WAS,35,2,342,50,92,.543,3,15,.200,47,77,.610,.560,21,30,.700,26,43,69,27,13,10,19,67,124,gibsota01
356,JaVale McGee,C,35,DAL,32,7,252,54,88,.614,1,4,.250,53,84,.631,.619,14,26,.538,21,56,77,8,4,20,28,37,123,mcgeeja01
357,Paul Reed,C,23,PHI,40,0,375,54,95,.568,0,4,.000,54,91,.593,.568,15,20,.750,52,75,127,14,25,23,23,74,123,reedpa01
358,Admiral Schofield,PF,25,ORL,27,0,350,44,92,.478,18,54,.333,26,38,.684,.576,17,19,.895,19,33,52,23,6,3,6,52,123,schofad01
359,Juancho Hernangómez,PF,27,TOR,41,10,609,48,113,.425,17,66,.258,31,47,.660,.500,9,16,.563,27,95,122,24,16,6,15,43,122,hernaju01
360,Matt Ryan,SF,25,TOT,32,0,303,40,107,.374,32,83,.386,8,24,.333,.523,10,12,.833,4,21,25,15,5,1,7,27,122,ryanma01
